t,value
1722714891,2.9702435599719176E-5
1722714894,2.9702435599719176E-5
1722714897,2.9702435599719176E-5
1722714900,2.9702435599719176E-5
1722714903,2.9702435599719176E-5
1722714906,2.9702435599719176E-5
1722714909,2.9702435599719176E-5
1722714912,2.9702435599719176E-5
1722714915,2.9702435599719176E-5
1722714918,2.9702435599719176E-5
